VariableCode,RegionCode,YearCode,AggValue
cn,HKG,2017,2537193.50000000000000000
cn,HKG,2018,2561054.25000000000000000
cn,HKG,2019,2566180.00000000000000000
rgdpe,SGP,1960,4528.42285156250000000
rgdpe,SGP,1961,4859.52197265625000000
rgdpe,SGP,1962,5297.43408203125000000
rgdpe,SGP,1963,5903.35986328125000000
rgdpe,SGP,1964,5745.62792968750000000
rgdpe,SGP,1965,6261.89355468750000000
rgdpe,SGP,1966,7068.15722656250000000
rgdpe,SGP,1967,8035.80957031250000000
rgdpe,SGP,1968,9222.29296875000000000
rgdpe,SGP,1969,10578.70800781250000000
rgdpe,SGP,1970,11937.13574218750000000
rgdpe,SGP,1971,13710.49511718750000000
rgdpe,SGP,1972,15731.67285156250000000
rgdpe,SGP,1973,17310.28515625000000000
rgdpe,SGP,1974,18388.41992187500000000
rgdpe,SGP,1975,19356.81250000000000000
rgdpe,SGP,1976,20685.71679687500000000
rgdpe,SGP,1977,22262.69921875000000000
rgdpe,SGP,1978,24898.57031250000000000
rgdpe,SGP,1979,27484.25000000000000000
rgdpe,SGP,1980,30956.84960937500000000
rgdpe,SGP,1981,34023.94921875000000000
rgdpe,SGP,1982,37630.79687500000000000
rgdpe,SGP,1983,41789.61718750000000000
rgdpe,SGP,1984,45145.52734375000000000
rgdpe,SGP,1985,43800.76562500000000000
rgdpe,SGP,1986,43639.71875000000000000
rgdpe,SGP,1987,47664.07812500000000000
rgdpe,SGP,1988,52605.13281250000000000
rgdpe,SGP,1989,58169.50390625000000000
rgdpe,SGP,1990,64860.57031250000000000
rgdpe,SGP,1991,71289.55468750000000000
rgdpe,SGP,1992,75697.04687500000000000
rgdpe,SGP,1993,84214.91406250000000000
rgdpe,SGP,1994,93609.28906250000000000
rgdpe,SGP,1995,104018.91406250000000000
rgdpe,SGP,1996,113954.16406250000000000
rgdpe,SGP,1997,128150.71875000000000000
rgdpe,SGP,1998,130406.28125000000000000
rgdpe,SGP,1999,139690.18750000000000000
rgdpe,SGP,2000,166273.53125000000000000
rgdpe,SGP,2001,170850.35937500000000000
rgdpe,SGP,2002,183760.43750000000000000
rgdpe,SGP,2003,201490.42187500000000000
rgdpe,SGP,2004,236381.53125000000000000
rgdpe,SGP,2005,272785.59375000000000000
rgdpe,SGP,2006,298978.06250000000000000
rgdpe,SGP,2007,330420.06250000000000000
rgdpe,SGP,2008,327804.96875000000000000
rgdpe,SGP,2009,336791.21875000000000000
rgdpe,SGP,2010,399283.93750000000000000
rgdpe,SGP,2011,427293.28125000000000000
rgdpe,SGP,2012,438146.65625000000000000
rgdpe,SGP,2013,435953.68750000000000000
rgdpe,SGP,2014,436481.00000000000000000
rgdpe,SGP,2015,451476.43750000000000000
rgdpe,SGP,2016,462027.93750000000000000
rgdpe,SGP,2017,488347.34375000000000000
rgdpe,SGP,2018,514369.34375000000000000
rgdpe,SGP,2019,514376.31250000000000000
emp,SGP,1960,0.48559668660163900
emp,SGP,1961,0.50505822896957400
emp,SGP,1962,0.52226668596267700
emp,SGP,1963,0.53873997926712000
emp,SGP,1964,0.55591166019439700
emp,SGP,1965,0.57284986972808800
emp,SGP,1966,0.59061652421951300
emp,SGP,1967,0.60722720623016400
emp,SGP,1968,0.62127000093460100
emp,SGP,1969,0.63422083854675300
emp,SGP,1970,0.64774763584137000
emp,SGP,1971,0.70788937807083100
emp,SGP,1972,0.78808408975601200
emp,SGP,1973,0.79572761058807400
emp,SGP,1974,0.82040745019912700
emp,SGP,1975,0.82946336269378700
emp,SGP,1976,0.86618471145629900
emp,SGP,1977,0.89952242374420200
emp,SGP,1978,0.95097208023071300
emp,SGP,1979,1.01336848735809000
emp,SGP,1980,1.06372320652008000
emp,SGP,1981,1.14801323413849000
emp,SGP,1982,1.21518611907959000
emp,SGP,1983,1.24514055252075000
emp,SGP,1984,1.26305341720581000
emp,SGP,1985,1.22862088680267000
emp,SGP,1986,1.20841908454895000
emp,SGP,1987,1.26086401939392000
emp,SGP,1988,1.32505154609680000
emp,SGP,1989,1.38724887371063000
emp,SGP,1990,1.52955627441406000
emp,SGP,1991,1.57962834835052000
emp,SGP,1992,1.61679792404175000
emp,SGP,1993,1.61523663997650000
emp,SGP,1994,1.66050422191620000
emp,SGP,1995,1.69385671615601000
emp,SGP,1996,1.75845015048981000
emp,SGP,1997,1.86753189563751000
emp,SGP,1998,1.92982411384583000
emp,SGP,1999,1.97523295879364000
emp,SGP,2000,2.08465480804443000
emp,SGP,2001,2.13307189941406000
emp,SGP,2002,2.19826269149780000
emp,SGP,2003,2.18692922592163000
emp,SGP,2004,2.25911116600037000
emp,SGP,2005,2.37321686744690000
emp,SGP,2006,2.54752969741821000
emp,SGP,2007,2.79701972007751000
emp,SGP,2008,2.95239973068237000
emp,SGP,2009,2.99179196357727000
emp,SGP,2010,3.10831499099731000
emp,SGP,2011,3.23044204711914000
emp,SGP,2012,3.35942673683167000
emp,SGP,2013,3.49671435356140000
emp,SGP,2014,3.62260890007019000
emp,SGP,2015,3.65548992156982000
emp,SGP,2016,3.67265009880066000
emp,SGP,2017,3.66928505897522000
emp,SGP,2018,3.71476626396179000
emp,SGP,2019,3.75960373878479000
hc,SGP,1960,1.45771002769470000
hc,SGP,1961,1.47825813293457000
hc,SGP,1962,1.49909603595734000
hc,SGP,1963,1.52022755146027000
hc,SGP,1964,1.54165697097778000
hc,SGP,1965,1.56338858604431000
hc,SGP,1966,1.58136498928070000
hc,SGP,1967,1.59954822063446000
hc,SGP,1968,1.61794042587280000
hc,SGP,1969,1.63654410839081000
hc,SGP,1970,1.65536177158356000
hc,SGP,1971,1.66047644615173000
hc,SGP,1972,1.66560697555542000
hc,SGP,1973,1.67075324058533000
hc,SGP,1974,1.67591547966003000
hc,SGP,1975,1.68109369277954000
hc,SGP,1976,1.67500722408295000
hc,SGP,1977,1.66894268989563000
hc,SGP,1978,1.66290020942688000
hc,SGP,1979,1.65687954425812000
hc,SGP,1980,1.65088069438934000
hc,SGP,1981,1.71060574054718000
hc,SGP,1982,1.75741302967072000
hc,SGP,1983,1.80550110340118000
hc,SGP,1984,1.85490489006042000
hc,SGP,1985,1.90566074848175000
hc,SGP,1986,1.93310272693634000
hc,SGP,1987,1.96093988418579000
hc,SGP,1988,1.98917794227600000
hc,SGP,1989,2.01782250404358000
hc,SGP,1990,2.04687976837158000
hc,SGP,1991,2.11134409904480000
hc,SGP,1992,2.17783856391907000
hc,SGP,1993,2.24642753601074000
hc,SGP,1994,2.31717634201050000
hc,SGP,1995,2.39015340805054000
hc,SGP,1996,2.46764349937439000
hc,SGP,1997,2.54764604568481000
hc,SGP,1998,2.60707616806030000
hc,SGP,1999,2.66368556022644000
hc,SGP,2000,2.72152423858643000
hc,SGP,2001,2.70760941505432000
hc,SGP,2002,2.69376587867737000
hc,SGP,2003,2.67999315261841000
hc,SGP,2004,2.66629052162170000
hc,SGP,2005,2.65265846252441000
hc,SGP,2006,2.72960352897644000
hc,SGP,2007,2.80878090858459000
hc,SGP,2008,2.89025473594666000
hc,SGP,2009,2.97409200668335000
hc,SGP,2010,3.06036090850830000
hc,SGP,2011,3.16169428825378000
hc,SGP,2012,3.27118372917175000
hc,SGP,2013,3.38966321945190000
hc,SGP,2014,3.51807260513306000
hc,SGP,2015,3.65747284889221000
hc,SGP,2016,3.80906391143799000
hc,SGP,2017,3.97420811653137000
hc,SGP,2018,4.15445375442505000
hc,SGP,2019,4.35156822204590000
labsh,SGP,1960,0.40206229686737100
labsh,SGP,1961,0.40206229686737100
labsh,SGP,1962,0.40206229686737100
labsh,SGP,1963,0.40206229686737100
labsh,SGP,1964,0.40206229686737100
labsh,SGP,1965,0.40206229686737100
labsh,SGP,1966,0.40206229686737100
labsh,SGP,1967,0.40206229686737100
labsh,SGP,1968,0.40206229686737100
labsh,SGP,1969,0.40206229686737100
labsh,SGP,1970,0.40206229686737100
labsh,SGP,1971,0.40206229686737100
labsh,SGP,1972,0.40206229686737100
labsh,SGP,1973,0.40206229686737100
labsh,SGP,1974,0.40206229686737100
labsh,SGP,1975,0.40206229686737100
labsh,SGP,1976,0.40206229686737100
labsh,SGP,1977,0.40206229686737100
labsh,SGP,1978,0.40206229686737100
labsh,SGP,1979,0.40206229686737100
labsh,SGP,1980,0.40206229686737100
labsh,SGP,1981,0.41414961218833900
labsh,SGP,1982,0.45169860124588000
labsh,SGP,1983,0.46593847870826700
labsh,SGP,1984,0.47788465023040800
labsh,SGP,1985,0.49103838205337500
labsh,SGP,1986,0.44835090637207000
labsh,SGP,1987,0.42418184876442000
labsh,SGP,1988,0.41592609882354700
labsh,SGP,1989,0.42571881413459800
labsh,SGP,1990,0.42934843897819500
labsh,SGP,1991,0.43817377090454100
labsh,SGP,1992,0.44707390666008000
labsh,SGP,1993,0.43585130572319000
labsh,SGP,1994,0.43930888175964400
labsh,SGP,1995,0.44019517302513100
labsh,SGP,1996,0.44173026084899900
labsh,SGP,1997,0.43725708127021800
labsh,SGP,1998,0.46197772026062000
labsh,SGP,1999,0.45579534769058200
labsh,SGP,2000,0.45759242773056000
labsh,SGP,2001,0.48934844136238100
labsh,SGP,2002,0.47307565808296200
labsh,SGP,2003,0.46449789404869100
labsh,SGP,2004,0.42625194787979100
labsh,SGP,2005,0.42181241512298600
labsh,SGP,2006,0.41980013251304600
labsh,SGP,2007,0.42375618219375600
labsh,SGP,2008,0.44755733013153100
labsh,SGP,2009,0.45744580030441300
labsh,SGP,2010,0.43946811556816100
labsh,SGP,2011,0.43946811556816100
labsh,SGP,2012,0.43946811556816100
labsh,SGP,2013,0.43946811556816100
labsh,SGP,2014,0.43946811556816100
labsh,SGP,2015,0.43946811556816100
labsh,SGP,2016,0.43946811556816100
labsh,SGP,2017,0.43946811556816100
labsh,SGP,2018,0.43946811556816100
labsh,SGP,2019,0.43946811556816100
cn,SGP,1960,14719.84179687500000000
cn,SGP,1961,15322.19042968750000000
cn,SGP,1962,15969.90917968750000000
cn,SGP,1963,17296.49804687500000000
cn,SGP,1964,18308.30859375000000000
cn,SGP,1965,19600.92187500000000000
cn,SGP,1966,21064.95117187500000000
cn,SGP,1967,23078.45117187500000000
cn,SGP,1968,25367.01953125000000000
cn,SGP,1969,28765.66992187500000000
cn,SGP,1970,33458.14843750000000000
cn,SGP,1971,38884.05859375000000000
cn,SGP,1972,44537.73046875000000000
cn,SGP,1973,50056.57421875000000000
cn,SGP,1974,55670.80468750000000000
cn,SGP,1975,61661.60156250000000000
cn,SGP,1976,67020.72656250000000000
cn,SGP,1977,71477.53125000000000000
cn,SGP,1978,77003.88281250000000000
cn,SGP,1979,82859.73437500000000000
cn,SGP,1980,90171.96093750000000000
cn,SGP,1981,100026.64843750000000000
cn,SGP,1982,113068.50781250000000000
cn,SGP,1983,126220.35937500000000000
cn,SGP,1984,141511.56250000000000000
cn,SGP,1985,153292.70312500000000000
cn,SGP,1986,162475.62500000000000000
cn,SGP,1987,171638.87500000000000000
cn,SGP,1988,181933.87500000000000000
cn,SGP,1989,193355.53125000000000000
cn,SGP,1990,206869.39062500000000000
cn,SGP,1991,221056.53125000000000000
cn,SGP,1992,237233.12500000000000000
cn,SGP,1993,255493.37500000000000000
cn,SGP,1994,275297.34375000000000000
cn,SGP,1995,297262.50000000000000000
cn,SGP,1996,325772.09375000000000000
cn,SGP,1997,359697.78125000000000000
cn,SGP,1998,396841.12500000000000000
cn,SGP,1999,440796.21875000000000000
cn,SGP,2000,506260.96875000000000000
cn,SGP,2001,584080.25000000000000000
cn,SGP,2002,675296.00000000000000000
cn,SGP,2003,782590.68750000000000000
cn,SGP,2004,906162.75000000000000000
cn,SGP,2005,1013280.62500000000000000
cn,SGP,2006,1107775.62500000000000000
cn,SGP,2007,1221352.37500000000000000
cn,SGP,2008,1352397.62500000000000000
cn,SGP,2009,1487597.25000000000000000
cn,SGP,2010,1624696.00000000000000000
cn,SGP,2011,1737728.50000000000000000
cn,SGP,2012,1796339.75000000000000000
cn,SGP,2013,1867905.87500000000000000
cn,SGP,2014,1924312.62500000000000000
cn,SGP,2015,1976148.75000000000000000
cn,SGP,2016,1999486.37500000000000000
cn,SGP,2017,2027498.00000000000000000
cn,SGP,2018,2090310.62500000000000000
cn,SGP,2019,2148978.00000000000000000
